Rank,Artist,Listeners,PkListeners,Daily Trend
46,Chris Brown,"47,450,314","54,390,450","-25,474"
47,Kendrick Lamar,"47,391,930","54,045,549","-8,503"
48,OneRepublic,"47,384,563","50,035,577","-104,857"
49,Myke Towers,"47,028,831","47,235,005","-27,706"
50,Rauw Alejandro,"46,559,302","52,131,934","-100,409"
51,Ozuna,"45,879,131","51,532,028","-106,370"
52,Arctic Monkeys,"45,790,038","45,790,038","124,615"
53,Sia,"45,728,333","47,868,578","-29,481"
54,Shawn Mendes,"44,310,129","46,917,936","-12,741"
55,Bebe Rexha,"43,999,789","49,496,274","-1,426"
56,TiÃ«sto,"43,284,312","46,094,072","-243,951"
57,Halsey,"42,532,070","45,939,636","1,172"
58,Bizarrap,"42,259,038","54,300,662","-150,381"
59,Charlie Puth,"41,537,987","42,603,508","-17,338"
60,Ice Spice,"41,330,265","47,203,544","-368,853"
61,J. Cole,"41,053,576","44,549,954","-4,941"
62,Ellie Goulding,"40,958,180","45,626,754","-74,640"
63,Anne-Marie,"40,359,289","41,501,481","-67,430"
64,Madonna,"40,170,466","42,630,784","-70,403"
65,Black Eyed Peas,"39,759,009","41,190,019","-4,973"
66,Feid,"39,309,942","40,900,736","-23,179"
67,Maluma,"39,049,409","39,104,518","-55,109"
68,Camila Cabello,"39,036,838","40,828,152","-25,627"
69,Swae Lee,"38,810,802","47,431,521","-23,101"
70,Arijit Singh,"38,690,595","38,690,595","147,172"
71,One Direction,"38,536,749","41,614,431","-40,048"
72,James Arthur,"38,265,678","38,458,175","-77,643"
73,Farruko,"37,832,243","39,498,431","-46,192"
74,Quevedo,"37,671,317","38,182,790","-44,364"
75,Playboi Carti,"37,595,035","38,720,453","34,209"
76,The Chainsmokers,"37,113,564","39,275,751","141,989"
77,Pitbull,"37,073,791","37,627,528","56,974"
78,Gunna,"36,860,616","36,860,616","101,699"
79,Michael Jackson,"36,634,625","37,313,351","65,824"
80,Avicii,"36,181,200","36,886,926","1,280"
81,Kali Uchis,"36,163,829","36,342,828","-178,999"
82,JAY-Z,"36,123,827","37,146,089","-12,340"
